"actor_name","title","length","film_groups"
"Jennifer Davis","Jumanji Blade",121,"Gr2"
"Jennifer Davis","National Story",92,"GR1"
"Jennifer Davis","Oklahoma Jumanji",58,"less 60 min"
"Jennifer Davis","Poseidon Forever",159,"Gr2"
"Jennifer Davis","Raiders Antitrust",82,"GR1"
"Jennifer Davis","Random Go",73,"GR1"
"Jennifer Davis","Reds Pocus",182,"BGr3"
"Jennifer Davis","Silverado Goldfinger",74,"GR1"
"Jennifer Davis","Splash Gump",175,"Gr2"
"Jennifer Davis","Submarine Bed",127,"Gr2"
"Jennifer Davis","Treasure Command",102,"GR1"
"Jennifer Davis","Unforgiven Zoolander",129,"Gr2"
"Johnny Lollobrigida","Amadeus Holy",113,"GR1"
"Johnny Lollobrigida","Banger Pinocchio",113,"GR1"
"Johnny Lollobrigida","Bonnie Holocaust",63,"GR1"
"Johnny Lollobrigida","Chitty Lock",107,"GR1"
"Johnny Lollobrigida","Commandments Express",59,"less 60 min"
"Johnny Lollobrigida","Coneheads Smoochy",112,"GR1"
"Johnny Lollobrigida","Daddy Pittsburgh",161,"Gr2"
"Johnny Lollobrigida","Daisy Menagerie",84,"GR1"
"Johnny Lollobrigida","Enough Raging",158,"Gr2"
"Johnny Lollobrigida","Escape Metropolis",167,"Gr2"
"Johnny Lollobrigida","Fire Wolves",173,"Gr2"
"Johnny Lollobrigida","Frontier Cabin",183,"BGr3"
"Johnny Lollobrigida","Goodfellas Salute",56,"less 60 min"
"Johnny Lollobrigida","Grail Frankenstein",85,"GR1"
"Johnny Lollobrigida","Groove Fiction",111,"GR1"
"Johnny Lollobrigida","Hall Cassidy",51,"less 60 min"
"Johnny Lollobrigida","Heavenly Gun",49,"less 60 min"
"Johnny Lollobrigida","Kramer Chocolate",171,"Gr2"
"Johnny Lollobrigida","Love Suicides",181,"BGr3"
"Johnny Lollobrigida","Metal Armageddon",161,"Gr2"
"Johnny Lollobrigida","Pacific Amistad",144,"Gr2"
"Johnny Lollobrigida","Patton Interview",175,"Gr2"
"Johnny Lollobrigida","Pocus Pulp",138,"Gr2"
"Johnny Lollobrigida","Ridgemont Submarine",46,"less 60 min"
"Johnny Lollobrigida","Rings Heartbreakers",58,"less 60 min"
"Johnny Lollobrigida","Smile Earring",60,NULL
"Johnny Lollobrigida","Soldiers Evolution",185,"BGr3"
"Johnny Lollobrigida","Star Operation",181,"BGr3"
"Johnny Lollobrigida","Sunrise League",135,"Gr2"
"Bette Nicholson","Antitrust Tomatoes",168,"Gr2"
"Bette Nicholson","Bang Kwai",87,"GR1"
"Bette Nicholson","Beast Hunchback",89,"GR1"
"Bette Nicholson","Bikini Borrowers",142,"Gr2"
"Bette Nicholson","Calendar Gunfight",120,NULL
"Bette Nicholson","Coast Rainbow",55,"less 60 min"
"Bette Nicholson","Coldblooded Darling",70,"GR1"
"Bette Nicholson","Crossroads Casualties",153,"Gr2"
"Bette Nicholson","Drop Waterfront",178,"Gr2"
"Bette Nicholson","Igby Maker",160,"Gr2"
"Bette Nicholson","Kramer Chocolate",171,"Gr2"
"Bette Nicholson","Language Cowboy",78,"GR1"
"Bette Nicholson","Lesson Cleopatra",167,"Gr2"
"Bette Nicholson","Liberty Magnificent",138,"Gr2"
"Bette Nicholson","Mulholland Beast",157,"Gr2"
"Bette Nicholson","Potluck Mixed",179,"Gr2"
"Bette Nicholson","Speed Suit",124,"Gr2"
"Bette Nicholson","Titanic Boondock",104,"GR1"
"Bette Nicholson","Trading Pinocchio",170,"Gr2"
"Bette Nicholson","Wyoming Storm",100,"GR1"
"Grace Mostel","Angels Life",74,"GR1"
"Grace Mostel","Anonymous Human",179,"Gr2"
"Grace Mostel","Arachnophobia Rollercoaster",147,"Gr2"
"Grace Mostel","Berets Agent",77,"GR1"
"Grace Mostel","Breaking Home",169,"Gr2"
"Grace Mostel","Command Darling",120,NULL
"Grace Mostel","Confessions Maguire",65,"GR1"
"Grace Mostel","Dazed Punk",120,NULL
"Grace Mostel","Deceiver Betrayed",122,"Gr2"
"Grace Mostel","Destination Jerk",76,"GR1"
"Grace Mostel","Excitement Eve",51,"less 60 min"
"Grace Mostel","Gaslight Crusade",106,"GR1"
"Grace Mostel","Hellfighters Sierra",75,"GR1"
"Grace Mostel","Instinct Airport",116,"GR1"
"Grace Mostel","Malkovich Pet",159,"Gr2"
"Grace Mostel","Necklace Outbreak",132,"Gr2"
"Grace Mostel","October Submarine",54,"less 60 min"
"Grace Mostel","Open African",131,"Gr2"
"Grace Mostel","Poseidon Forever",159,"Gr2"
"Grace Mostel","Saints Bride",125,"Gr2"
"Grace Mostel","Savannah Town",84,"GR1"
"Grace Mostel","Scissorhands Slums",147,"Gr2"
"Grace Mostel","Sleepless Monsoon",64,"GR1"
"Grace Mostel","Sleepy Japanese",137,"Gr2"
"Grace Mostel","Sting Personal",93,"GR1"
"Grace Mostel","Town Ark",136,"Gr2"
"Grace Mostel","Tracy Cider",142,"Gr2"
"Grace Mostel","Treatment Jekyll",87,"GR1"
"Grace Mostel","War Notting",80,"GR1"
"Grace Mostel","Warlock Werewolf",83,"GR1"
"Matthew Johansson","Baby Hall",153,"Gr2"
"Matthew Johansson","Campus Remember",167,"Gr2"
"Matthew Johansson","Clones Pinocchio",124,"Gr2"
"Matthew Johansson","Conquerer Nuts",173,"Gr2"
"Matthew Johansson","Crowds Telemark",112,"GR1"
"Matthew Johansson","Dances None",58,"less 60 min"
"Matthew Johansson","Driving Polish",175,"Gr2"
"Matthew Johansson","Durham Panky",154,"Gr2"
"Matthew Johansson","Flash Wars",123,"Gr2"
"Matthew Johansson","Hanging Deep",62,"GR1"
"Matthew Johansson","Indian Love",135,"Gr2"
"Matthew Johansson","Lights Deer",174,"Gr2"
"Matthew Johansson","Loser Hustler",80,"GR1"
"Matthew Johansson","Malkovich Pet",159,"Gr2"
"Matthew Johansson","Runner Madigan",101,"GR1"
"Matthew Johansson","School Jacket",151,"Gr2"
"Matthew Johansson","Scorpion Apollo",137,"Gr2"
"Matthew Johansson","Sugar Wonka",114,"GR1"
"Matthew Johansson","Tomorrow Hustler",142,"Gr2"
"Matthew Johansson","Vanishing Rocky",123,"Gr2"
"Joe Swank","Anything Savannah",82,"GR1"
"Joe Swank","Birch Antitrust",162,"Gr2"
"Joe Swank","Chocolat Harry",101,"GR1"
"Joe Swank","Chocolate Duck",132,"Gr2"
"Joe Swank","Crooked Frogmen",143,"Gr2"
"Joe Swank","Curtain Videotape",133,"Gr2"
"Joe Swank","Dalmations Sweden",106,"GR1"
"Joe Swank","Horror Reign",139,"Gr2"
"Joe Swank","Lawless Vision",181,"BGr3"
"Joe Swank","Lebowski Soldiers",69,"GR1"
"Joe Swank","Majestic Floats",130,"Gr2"
"Joe Swank","Pacific Amistad",144,"Gr2"
"Joe Swank","Perdition Fargo",99,"GR1"
"Joe Swank","Primary Glass",53,"less 60 min"
"Joe Swank","Reef Salute",123,"Gr2"
"Joe Swank","Runner Madigan",101,"GR1"
"Joe Swank","Smile Earring",60,NULL
"Joe Swank","Snatchers Montezuma",74,"GR1"
"Joe Swank","Sunrise League",135,"Gr2"
"Joe Swank","Sweethearts Suspects",108,"GR1"
"Joe Swank","Ties Hunger",111,"GR1"
"Joe Swank","Traffic Hobbit",139,"Gr2"
"Joe Swank","Untouchables Sunrise",120,NULL
"Joe Swank","Waterfront Deliverance",61,"GR1"
"Joe Swank","Wild Apollo",181,"BGr3"
"Christian Gable","Academy Dinosaur",86,"GR1"
"Christian Gable","Alabama Devil",114,"GR1"
"Christian Gable","Crooked Frogmen",143,"Gr2"
"Christian Gable","Divine Resurrection",100,"GR1"
"Christian Gable","Dragonfly Strangers",133,"Gr2"
"Christian Gable","Goldfinger Sensibility",93,"GR1"
"Christian Gable","Jawbreaker Brooklyn",118,"GR1"
"Christian Gable","Jeepers Wedding",84,"GR1"
"Christian Gable","Life Twisted",137,"Gr2"
"Christian Gable","Lord Arizona",108,"GR1"
"Christian Gable","Mod Secretary",77,"GR1"
"Christian Gable","Prejudice Oleander",98,"GR1"
"Christian Gable","Punk Divorce",100,"GR1"
"Christian Gable","Reap Unfaithful",136,"Gr2"
"Christian Gable","Shakespeare Saddle",60,NULL
"Christian Gable","Trouble Date",61,"GR1"
"Christian Gable","Usual Untouchables",128,"Gr2"
"Christian Gable","Vacation Boondock",145,"Gr2"
"Christian Gable","Waterfront Deliverance",61,"GR1"
"Christian Gable","Wedding Apollo",70,"GR1"
"Christian Gable","Wizard Coldblooded",75,"GR1"
"Christian Gable","Won Dares",105,"GR1"
"Zero Cage","Canyon Stock",85,"GR1"
"Zero Cage","Dances None",58,"less 60 min"
"Zero Cage","Encino Elf",143,"Gr2"
"Zero Cage","Ending Crowds",85,"GR1"
"Zero Cage","Gandhi Kwai",86,"GR1"
"Zero Cage","Godfather Diary",73,"GR1"
"Zero Cage","Handicap Boondock",108,"GR1"
"Zero Cage","Honey Ties",84,"GR1"
"Zero Cage","Horn Working",95,"GR1"
"Zero Cage","Image Princess",178,"Gr2"
"Zero Cage","Jersey Sassy",60,NULL
"Zero Cage","Loser Hustler",80,"GR1"
"Zero Cage","Meet Chocolate",80,"GR1"
"Zero Cage","Mod Secretary",77,"GR1"
"Zero Cage","Moonwalker Fool",184,"BGr3"
"Zero Cage","Oleander Clue",161,"Gr2"
"Zero Cage","Racer Egg",147,"Gr2"
"Zero Cage","Story Side",163,"Gr2"
"Zero Cage","Strangers Graffiti",119,"GR1"
"Zero Cage","Thin Sagebrush",53,"less 60 min"
"Zero Cage","Tootsie Pilot",157,"Gr2"
"Zero Cage","Uptown Young",84,"GR1"
"Zero Cage","Velvet Terminator",173,"Gr2"
"Zero Cage","West Lion",159,"Gr2"
"Zero Cage","Worker Tarzan",139,"Gr2"
"Karl Berry","Alley Evolution",180,NULL
"Karl Berry","Alone Trip",82,"GR1"
"Karl Berry","Arabia Dogma",62,"GR1"
"Karl Berry","Arizona Bang",121,"Gr2"
"Karl Berry","Bound Cheaper",98,"GR1"
"Karl Berry","Bowfinger Gables",72,"GR1"
"Karl Berry","Bunch Minds",63,"GR1"
"Karl Berry","Cleopatra Devil",150,"Gr2"
"Karl Berry","Connecticut Tramp",172,"Gr2"
"Karl Berry","Dares Pluto",89,"GR1"
"Karl Berry","Date Speed",104,"GR1"
"Karl Berry","Day Unfaithful",113,"GR1"
"Karl Berry","Doors President",49,"less 60 min"
"Karl Berry","Fury Murder",178,"Gr2"
"Karl Berry","Hardly Robbers",72,"GR1"
"Karl Berry","Highball Potter",110,"GR1"
"Karl Berry","Holes Brannigan",128,"Gr2"
"Karl Berry","Independence Hotel",157,"Gr2"
"Karl Berry","Leathernecks Dwarfs",153,"Gr2"
"Karl Berry","Lucky Flying",97,"GR1"
"Karl Berry","Monterey Labyrinth",158,"Gr2"
"Karl Berry","Novocaine Flight",64,"GR1"
"Karl Berry","Oklahoma Jumanji",58,"less 60 min"
"Karl Berry","Perfect Groove",82,"GR1"
"Karl Berry","Reap Unfaithful",136,"Gr2"
"Karl Berry","Reunion Witches",63,"GR1"
"Karl Berry","Smoking Barbarella",50,"less 60 min"
"Karl Berry","Stagecoach Armageddon",112,"GR1"
"Karl Berry","Sweden Shining",176,"Gr2"
"Karl Berry","Telemark Heartbreakers",152,"Gr2"
"Karl Berry","Virginian Pluto",164,"Gr2"
"Uma Wood","Alone Trip",82,"GR1"
"Uma Wood","Antitrust Tomatoes",168,"Gr2"
"Uma Wood","Attraction Newton",83,"GR1"
"Uma Wood","Boondock Ballroom",76,"GR1"
"Uma Wood","Cabin Flash",53,"less 60 min"
"Uma Wood","Chinatown Gladiator",61,"GR1"
"Uma Wood","Clash Freddy",81,"GR1"
"Uma Wood","Clueless Bucket",95,"GR1"
"Uma Wood","Daisy Menagerie",84,"GR1"
"Uma Wood","Driver Annie",159,"Gr2"
"Uma Wood","Frida Slipper",73,"GR1"
"Uma Wood","Galaxy Sweethearts",128,"Gr2"
"Uma Wood","Grinch Massage",150,"Gr2"
"Uma Wood","Groundhog Uncut",139,"Gr2"
"Uma Wood","Homeward Cider",103,"GR1"
"Uma Wood","Inch Jet",167,"Gr2"
"Uma Wood","Leathernecks Dwarfs",153,"Gr2"
"Uma Wood","Legally Secretary",113,"GR1"
"Uma Wood","Life Twisted",137,"Gr2"
"Uma Wood","Lion Uncut",50,"less 60 min"
"Uma Wood","Lolita World",155,"Gr2"
"Uma Wood","Metal Armageddon",161,"Gr2"
"Uma Wood","Model Fish",175,"Gr2"
"Uma Wood","Moonwalker Fool",184,"BGr3"
"Uma Wood","Motions Details",166,"Gr2"
"Uma Wood","Rebel Airport",73,"GR1"
"Uma Wood","Rider Caddyshack",177,"Gr2"
"Uma Wood","Snowman Rollercoaster",62,"GR1"
"Uma Wood","Soldiers Evolution",185,"BGr3"
"Uma Wood","Splash Gump",175,"Gr2"
"Uma Wood","Splendor Patton",134,"Gr2"
"Uma Wood","Steel Santa",143,"Gr2"
"Uma Wood","Torque Bound",179,"Gr2"
"Uma Wood","Wedding Apollo",70,"GR1"
"Uma Wood","Zhivago Core",105,"GR1"
"Vivien Bergen","Clash Freddy",81,"GR1"
"Vivien Bergen","Cranes Reservoir",57,"less 60 min"
"Vivien Bergen","Dirty Ace",147,"Gr2"
"Vivien Bergen","Donnie Alley",125,"Gr2"
"Vivien Bergen","Drifter Commandments",61,"GR1"
"Vivien Bergen","Driving Polish",175,"Gr2"
"Vivien Bergen","Drums Dynamite",96,"GR1"
"Vivien Bergen","Enemy Odds",77,"GR1"
"Vivien Bergen","Excitement Eve",51,"less 60 min"
"Vivien Bergen","Gorgeous Bingo",108,"GR1"
"Vivien Bergen","High Encino",84,"GR1"
"Vivien Bergen","Hills Neighbors",93,"GR1"
"Vivien Bergen","Hobbit Alien",157,"Gr2"
"Vivien Bergen","Impact Aladdin",180,NULL
"Vivien Bergen","Italian African",174,"Gr2"
"Vivien Bergen","Japanese Run",135,"Gr2"
"Vivien Bergen","Kentuckian Giant",169,"Gr2"
"Vivien Bergen","Lovely Jingle",65,"GR1"
"Vivien Bergen","Lover Truman",75,"GR1"
"Vivien Bergen","Mussolini Spoilers",180,NULL
"Vivien Bergen","Polish Brooklyn",61,"GR1"
"Vivien Bergen","Salute Apollo",73,"GR1"
"Vivien Bergen","Saturday Lambs",150,"Gr2"
"Vivien Bergen","Stock Glass",160,"Gr2"
"Vivien Bergen","Streetcar Intentions",73,"GR1"
"Vivien Bergen","Tights Dawn",172,"Gr2"
"Vivien Bergen","Trap Guys",110,"GR1"
"Vivien Bergen","Tycoon Gathering",82,"GR1"
"Vivien Bergen","Voice Peach",139,"Gr2"
"Vivien Bergen","Westward Seabiscuit",52,"less 60 min"
"Cuba Olivier","Apache Divine",92,"GR1"
"Cuba Olivier","Borrowers Bedazzled",63,"GR1"
"Cuba Olivier","Bound Cheaper",98,"GR1"
"Cuba Olivier","Butch Panther",67,"GR1"
"Cuba Olivier","Cassidy Wyoming",61,"GR1"
"Cuba Olivier","Divine Resurrection",100,"GR1"
"Cuba Olivier","Egypt Tenenbaums",85,"GR1"
"Cuba Olivier","Empire Malkovich",177,"Gr2"
"Cuba Olivier","Flying Hook",69,"GR1"
"Cuba Olivier","Fugitive Maguire",83,"GR1"
"Cuba Olivier","Hellfighters Sierra",75,"GR1"
"Cuba Olivier","Hyde Doctor",100,"GR1"
"Cuba Olivier","Kiss Glory",163,"Gr2"
"Cuba Olivier","Knock Warlock",71,"GR1"
"Cuba Olivier","Luke Mummy",74,"GR1"
"Cuba Olivier","Maker Gables",136,"Gr2"
"Cuba Olivier","Montezuma Command",126,"Gr2"
"Cuba Olivier","Noon Papi",57,"less 60 min"
"Cuba Olivier","Oklahoma Jumanji",58,"less 60 min"
"Cuba Olivier","Roses Treasure",162,"Gr2"
"Cuba Olivier","Shane Darkness",93,"GR1"
"Cuba Olivier","Siege Madre",111,"GR1"
"Cuba Olivier","Soldiers Evolution",185,"BGr3"
"Cuba Olivier","Theory Mermaid",184,"BGr3"
"Cuba Olivier","Unforgiven Zoolander",129,"Gr2"
"Cuba Olivier","Volcano Texas",157,"Gr2"
"Cuba Olivier","Werewolf Lola",79,"GR1"
"Cuba Olivier","Wonderland Christmas",111,"GR1"
"Fred Costner","Blanket Beverly",148,"Gr2"
"Fred Costner","Boondock Ballroom",76,"GR1"
"Fred Costner","Brotherhood Blanket",73,"GR1"
"Fred Costner","Carol Texas",151,"Gr2"
"Fred Costner","Cleopatra Devil",150,"Gr2"
"Fred Costner","Connecticut Tramp",172,"Gr2"
"Fred Costner","Deceiver Betrayed",122,"Gr2"
"Fred Costner","Deliverance Mulholland",100,"GR1"
"Fred Costner","Eagles Panky",140,"Gr2"
"Fred Costner","Earring Instinct",98,"GR1"
"Fred Costner","Easy Gladiator",148,"Gr2"
"Fred Costner","Empire Malkovich",177,"Gr2"
"Fred Costner","Entrapment Satisfaction",176,"Gr2"
"Fred Costner","Gables Metropolis",161,"Gr2"
"Fred Costner","Human Graffiti",68,"GR1"
"Fred Costner","Image Princess",178,"Gr2"
"Fred Costner","Impossible Prejudice",103,"GR1"
"Fred Costner","Inch Jet",167,"Gr2"
"Fred Costner","Kramer Chocolate",171,"Gr2"
"Fred Costner","Magnificent Chitty",53,"less 60 min"
"Fred Costner","Miracle Virtual",162,"Gr2"
"Fred Costner","Mission Zoolander",164,"Gr2"
"Fred Costner","Rear Trading",97,"GR1"
"Fred Costner","Saints Bride",125,"Gr2"
"Fred Costner","Sense Greek",54,"less 60 min"
"Fred Costner","Theory Mermaid",184,"BGr3"
"Fred Costner","Weekend Personal",134,"Gr2"
"Helen Voight","Breaking Home",169,"Gr2"
"Helen Voight","Caper Motions",176,"Gr2"
"Helen Voight","Casper Dragonfly",163,"Gr2"
"Helen Voight","Cat Coneheads",112,"GR1"
"Helen Voight","Clash Freddy",81,"GR1"
"Helen Voight","Cupboard Sinners",56,"less 60 min"
"Helen Voight","Cyclone Family",176,"Gr2"
"Helen Voight","Divine Resurrection",100,"GR1"
"Helen Voight","Empire Malkovich",177,"Gr2"
"Helen Voight","Fever Empire",158,"Gr2"
"Helen Voight","Fidelity Devil",118,"GR1"
"Helen Voight","Greatest North",93,"GR1"
"Helen Voight","Independence Hotel",157,"Gr2"
"Helen Voight","Iron Moon",46,"less 60 min"
"Helen Voight","Jaws Harry",112,"GR1"
"Helen Voight","Kiss Glory",163,"Gr2"
"Helen Voight","Legally Secretary",113,"GR1"
"Helen Voight","Lies Treatment",147,"Gr2"
"Helen Voight","Microcosmos Paradise",105,"GR1"
"Helen Voight","Movie Shakespeare",53,"less 60 min"
"Helen Voight","Mummy Creatures",160,"Gr2"
"Helen Voight","Road Roxanne",158,"Gr2"
"Helen Voight","Scissorhands Slums",147,"Gr2"
"Helen Voight","Side Ark",52,"less 60 min"
"Helen Voight","Sinners Atlantis",126,"Gr2"
"Helen Voight","Stranger Strangers",139,"Gr2"
"Helen Voight","Sweethearts Suspects",108,"GR1"
"Helen Voight","Tadpole Park",155,"Gr2"
"Helen Voight","Telemark Heartbreakers",152,"Gr2"
"Helen Voight","Voice Peach",139,"Gr2"
"Helen Voight","War Notting",80,"GR1"
"Helen Voight","Warlock Werewolf",83,"GR1"
"Dan Torn","Attacks Hate",113,"GR1"
"Dan Torn","Boiled Dares",102,"GR1"
"Dan Torn","Chinatown Gladiator",61,"GR1"
"Dan Torn","Coneheads Smoochy",112,"GR1"
"Dan Torn","Early Home",96,"GR1"
"Dan Torn","Elizabeth Shane",152,"Gr2"
"Dan Torn","Empire Malkovich",177,"Gr2"
"Dan Torn","Flash Wars",123,"Gr2"
"Dan Torn","Gump Date",53,"less 60 min"
"Dan Torn","Innocent Usual",178,"Gr2"
"Dan Torn","Insider Arizona",78,"GR1"
"Dan Torn","Jerk Paycheck",172,"Gr2"
"Dan Torn","Lovely Jingle",65,"GR1"
"Dan Torn","Mask Peach",123,"Gr2"
"Dan Torn","Mussolini Spoilers",180,NULL
"Dan Torn","Rear Trading",97,"GR1"
"Dan Torn","Sling Luke",84,"GR1"
"Dan Torn","State Wasteland",113,"GR1"
"Dan Torn","Sun Confessions",141,"Gr2"
"Dan Torn","Tequila Past",53,"less 60 min"
"Dan Torn","Tuxedo Mile",152,"Gr2"
"Dan Torn","Virgin Daisy",179,"Gr2"
"Bob Fawcett","Ace Goldfinger",48,"less 60 min"
"Bob Fawcett","Adaptation Holes",50,"less 60 min"
"Bob Fawcett","Chinatown Gladiator",61,"GR1"
"Bob Fawcett","Circus Youth",90,"GR1"
"Bob Fawcett","Control Anthem",185,"BGr3"
"Bob Fawcett","Dares Pluto",89,"GR1"
"Bob Fawcett","Darn Forrester",185,"BGr3"
"Bob Fawcett","Dazed Punk",120,NULL
"Bob Fawcett","Dynamite Tarzan",141,"Gr2"
"Bob Fawcett","Hate Handicap",107,"GR1"
"Bob Fawcett","Homicide Peach",141,"Gr2"
"Bob Fawcett","Jacket Frisco",181,"BGr3"
"Bob Fawcett","Jumanji Blade",121,"Gr2"
"Bob Fawcett","Lawless Vision",181,"BGr3"
"Bob Fawcett","Leathernecks Dwarfs",153,"Gr2"
"Bob Fawcett","Oscar Gold",115,"GR1"
"Bob Fawcett","Pelican Comforts",48,"less 60 min"
"Bob Fawcett","Personal Ladybugs",118,"GR1"
"Bob Fawcett","Raging Airplane",154,"Gr2"
"Bob Fawcett","Run Pacific",145,"Gr2"
"Bob Fawcett","Runner Madigan",101,"GR1"
"Bob Fawcett","Saddle Antitrust",80,"GR1"
"Bob Fawcett","Scorpion Apollo",137,"Gr2"
"Bob Fawcett","Shawshank Bubble",80,"GR1"
"Bob Fawcett","Taxi Kick",64,"GR1"
"Lucille Tracy","Academy Dinosaur",86,"GR1"
"Lucille Tracy","Banger Pinocchio",113,"GR1"
"Lucille Tracy","Bedazzled Married",73,"GR1"
"Lucille Tracy","Cheaper Clyde",87,"GR1"
"Lucille Tracy","Chitty Lock",107,"GR1"
"Lucille Tracy","Coldblooded Darling",70,"GR1"
"Lucille Tracy","Dinosaur Secretary",63,"GR1"
"Lucille Tracy","Doors President",49,"less 60 min"
"Lucille Tracy","Earring Instinct",98,"GR1"
"Lucille Tracy","Egg Igby",67,"GR1"
"Lucille Tracy","Gandhi Kwai",86,"GR1"
"Lucille Tracy","Goldfinger Sensibility",93,"GR1"
"Lucille Tracy","Hyde Doctor",100,"GR1"
"Lucille Tracy","Jaws Harry",112,"GR1"
"Lucille Tracy","Jungle Closer",134,"Gr2"
"Lucille Tracy","King Evolution",184,"BGr3"
"Lucille Tracy","Lola Agent",85,"GR1"
"Lucille Tracy","Lose Inch",137,"Gr2"
"Lucille Tracy","Loverboy Attacks",162,"Gr2"
"Lucille Tracy","Modern Dorado",74,"GR1"
"Lucille Tracy","Orient Closer",118,"GR1"
"Lucille Tracy","Pajama Jawbreaker",126,"Gr2"
"Lucille Tracy","Patient Sister",99,"GR1"
"Lucille Tracy","Random Go",73,"GR1"
"Lucille Tracy","Rear Trading",97,"GR1"
"Lucille Tracy","Sagebrush Clueless",106,"GR1"
"Lucille Tracy","Shanghai Tycoon",47,"less 60 min"
"Lucille Tracy","Sun Confessions",141,"Gr2"
"Lucille Tracy","Wasteland Divine",85,"GR1"
"Lucille Tracy","Window Side",85,"GR1"
"Kirsten Paltrow","Agent Truman",169,"Gr2"
"Kirsten Paltrow","Boondock Ballroom",76,"GR1"
"Kirsten Paltrow","Born Spinal",179,"Gr2"
"Kirsten Paltrow","Chicken Hellfighters",122,"Gr2"
"Kirsten Paltrow","Closer Bang",58,"less 60 min"
"Kirsten Paltrow","Conquerer Nuts",173,"Gr2"
"Kirsten Paltrow","Drifter Commandments",61,"GR1"
